CENSUS TRACT,Median Income,Median Income no benefits,Median Income w benefits
17031510200,44423,44880,39120
17031510300,30069,46979,17344
17031520100,41875,50288,36875
17031520200,38884,48750,21654
17031520300,41860,51705,24274
17031520400,44226,50859,26111
17031520500,62311,69375,25938
17031520600,44738,50705,-
17031530100,35875,39844,24922
17031530200,36448,50294,20089
17031530300,47039,52703,33277
17031530400,58065,64886,23250
17031530501,44436,54811,29167
17031530502,44744,54313,37000
17031530503,39231,50868,25811
17031530600,32566,47083,16653
17031540101,14066,23018,9740
17031540102,13585,21705,9213
17031550100,50637,65399,11795
17031550200,53125,59028,31766
17031560100,62059,74306,50250
17031560200,48250,58468,30170
17031560300,51034,51429,-
17031560400,55670,55580,-
17031560700,56452,60125,42308
17031560800,70102,71291,-
17031560900,96326,97311,56750
17031561000,99667,109432,-
17031561100,84805,86139,82700
17031570100,55809,61000,25208
17031570200,43571,54500,27969
17031570300,44266,53990,28407
17031570400,41596,41912,40167
17031570500,40000,41842,-
17031580100,41681,46122,20893
17031580200,43667,48750,27297
17031580300,45888,45625,47917
17031580400,41167,45268,23450
17031580501,39706,42321,31813
17031580502,40233,43484,23750
17031580600,46419,54250,31469
17031580700,44986,53359,36894
17031580800,42946,47692,32222
17031590500,53295,62500,-
17031590600,40536,51516,28875
17031590700,44906,53125,19688
17031600400,34127,52734,17188
17031600600,36005,42891,28813
17031600700,35523,42269,19046
17031600900,55018,56812,31723
17031610300,33507,45705,27394
17031610400,35804,40425,-
17031610800,49250,56250,27895
17031611000,19661,22202,18355
17031611100,25464,31136,19293
17031611200,28212,29326,19762
17031611300,26847,34196,20741
17031611400,32071,35448,21927
17031611500,35330,40145,21025
17031611600,32031,36484,24107
17031611700,25729,27708,22328
17031611800,34333,43846,27255
17031611900,25321,36534,18512
17031612000,30121,27424,33125
17031612100,24900,26711,21591
17031620100,56339,60714,-
17031620200,51333,53583,25833
17031620300,54667,57244,38169
17031620400,64861,63333,67813
17031630100,31750,37596,26563
17031630200,35707,36902,32885
17031630300,52278,61736,37344
17031630400,32683,34446,24375
17031630500,42434,46162,40313
17031630800,45046,52672,36696
17031630900,46495,47540,38913
17031640100,44013,53409,-
17031640300,68397,69952,-
17031640400,68902,75455,40464
17031640500,83574,83711,64563
17031640600,44085,50927,15846
17031640700,50625,57813,46413
17031640800,52381,55208,47692
17031650100,44722,48362,27639
17031650200,48678,52667,46629
17031650301,57875,58104,49191
17031650302,47321,52344,40197
17031650400,48634,51723,21404
17031650500,61972,63871,21667
17031660301,23976,32716,16389
17031660302,32880,36754,22708
17031660400,43772,46205,38816
17031660500,39137,42832,31515
17031660600,27423,38063,17767
17031660700,28125,35667,19766
17031660800,36783,40625,23021
17031660900,28817,33690,22946
17031661000,31310,35556,18994
17031661100,54425,62733,20063
17031670100,27450,33125,-
17031670200,22143,25234,-
17031670300,20938,21083,20652
17031670400,24667,33182,18333
17031670500,26200,22917,27885
17031670600,23021,48068,16094
17031670700,35074,40764,30227
17031670800,22219,31544,20354
17031670900,36875,41506,31172
17031671100,32426,34405,30074
17031671200,21699,30000,18750
17031671300,28466,30893,25667
17031671400,23636,37674,17738
17031671500,26822,31757,21795
