FIPS,State,County,Adult Diabetes Rate (2008),Adult diabetes rate (2013),Adult obesity rate (2008),Adult obesity rate (2013),"High schoolers physically active (%), 2015",Recreation & fitness facilities (2009),Recreation & fitness facilities (2014),"Recreation & fitness facilities (% change), 2009-14","Recreation & fitness facilities/1,000 pop (2009)","Recreation & fitness facilities/1,000 pop (2014)","Recreation & fitness facilities/1,000 pop (% change), 2009-14"
17155,IL,Putnam,9.2,10.5,27.2,29.9,26.8,2,2,0.0,0.333500083,0.343997248,3.147574819
17157,IL,Randolph,8.2,10.1,27.3,27.7,26.8,5,2,-60.0,0.149129086,0.0608476,-59.19802854
17159,IL,Richland,9.9,11.0,28.4,28.8,26.8,3,3,0.0,0.184854273,0.18678787100000002,1.046012079
17161,IL,Rock Island,9.0,10.8,27.0,31.7,26.8,14,11,-21.42857143,0.094881804,0.075309969,-20.62759612
17163,IL,St. Clair,9.4,12.7,28.4,33.2,26.8,31,27,-12.90322581,0.11546096900000001,0.101607277,-11.99859328
17165,IL,Saline,9.8,12.0,26.7,30.1,26.8,0,0,0.0,0.0,0.0,0.0
17167,IL,Sangamon,9.6,10.7,28.8,28.5,26.8,21,25,19.04761905,0.107044551,0.125630035,17.36238187
17169,IL,Schuyler,9.1,10.6,26.4,31.7,26.8,0,0,0.0,0.0,0.0,0.0
17171,IL,Scott,9.4,9.9,27.2,30.4,26.8,0,0,0.0,0.0,0.0,0.0
17173,IL,Shelby,9.1,10.1,26.9,30.6,26.8,1,0,-100.0,0.044670800000000004,0.0,-100.0
17175,IL,Stark,9.5,12.2,26.8,30.2,26.8,0,0,0.0,0.0,0.0,0.0
17177,IL,Stephenson,9.2,12.5,28.6,32.9,26.8,8,9,12.5,0.167392032,0.193819317,15.78766017
17179,IL,Tazewell,8.6,9.6,26.4,30.6,26.8,18,18,0.0,0.133280021,0.13263870000000003,-0.481183727
17181,IL,Union,8.9,11.9,27.7,28.2,26.8,1,0,-100.0,0.05583780000000001,0.0,-100.0
17183,IL,Vermilion,9.7,12.7,27.1,35.4,26.8,7,8,14.28571429,0.085668829,0.10034116,17.12680256
17185,IL,Wabash,8.9,12.6,27.1,32.2,26.8,2,3,50.0,0.166112957,0.25976275,56.37717551
17187,IL,Warren,9.2,10.5,27.0,30.5,26.8,1,1,0.0,0.0565323,0.055947199999999996,-1.035022938
17189,IL,Washington,8.9,10.5,27.9,28.6,26.8,1,2,100.0,0.067773636,0.13949919800000002,105.8310665
17191,IL,Wayne,8.8,10.3,27.7,29.2,26.8,2,2,0.0,0.119132714,0.120897056,1.480988938
17193,IL,White,9.5,10.6,27.5,28.7,26.8,1,1,0.0,0.067718562,0.069570057,2.7341032419999998
17195,IL,Whiteside,8.9,10.5,26.3,28.7,26.8,7,1,-85.71428571,0.119317504,0.0175821,-85.26443491
17197,IL,Will,7.9,8.5,28.8,28.0,26.8,71,65,-8.450704225,0.10518986,0.094832504,-9.846344836
17199,IL,Williamson,8.7,10.5,28.1,31.6,26.8,5,9,80.0,0.07549562900000001,0.13431232099999998,77.90741404
17201,IL,Winnebago,9.2,11.7,27.9,33.9,26.8,24,26,8.333333332999999,0.081187503,0.090108199,10.987770699999999
17203,IL,Woodford,8.4,9.6,27.5,30.8,26.8,3,3,0.0,0.077569489,0.076556001,-1.306555746
