Code,Store Name,Address,Store Type
CG,DOLLAR TREE 1733,"377 Killingly St
Providence, RI
(41.81986190600048, -71.46884840499962)",Chain Store or Gas Station
CG,Family Dollar 2108,"678 Branch Ave
Providence, RI
(41.85341819900049, -71.42784120799962)",Chain Store or Gas Station
CG,PriceRite 371,"325 Valley St
Providence, RI
(41.82603751100049, -71.43880304899966)",Chain Store or Gas Station
CS,Chalkstone Mini Mart & Deli,"920 Chalkstone Ave
Providence, RI
(41.83291144800046, -71.43761793499965)",Corner Store
GR,WHOLE FOODS MARKET 10111,"601 Main St
Providence, RI
(41.83718274800049, -71.40945311799965)",Grocery
CS,D & C MARKET,"290 Elmwood Ave
Providence, RI
(41.804823549000446, -71.42532769199966)",Corner Store
GR,Fertile Underground Grocery,"1577 Westminster St
Providence, RI
(41.81608630900047, -71.43576591099963)",Grocery
CS,LA ESQUINA MARKET,"274 Webster Ave
Providence, RI
(41.806983854000464, -71.44757843199966)",Corner Store
CS,Espinal Grocery,"875 Atwells Ave
Providence, RI
(41.82499411700047, -71.44630394199964)",Corner Store
CS,Eastside Mart,"422 Lloyd Ave
Providence, RI
(41.83425948100046, -71.39055494399963)",Corner Store
CG,V Mart LLC,"176 Narragansett Ave
Providence, RI
(41.7887259740005, -71.42353278999963)",Chain Store or Gas Station
CS,Shop And Go Food Market,"216 Union Ave
Providence, RI
(41.80782034300046, -71.44377239399967)",Corner Store
CS,City Stop Inc,"316 Smith St
Providence, RI
(41.78490026100047, -71.39893000999967)",Corner Store
CS,JW Market Inc,"187 Mathewson St
Providence, RI
(41.8215295330005, -71.41284323499963)",Corner Store
CS,BROTHER'S MARKET,"600 Douglas Ave
Providence, RI
(41.8463688920005, -71.42939863599963)",Corner Store
CS,Family Convenience Grocery Store,"512 Prairie Ave
Providence, RI
(41.799931234000496, -71.41238327299965)",Corner Store
CS,Chalkstone Supermarket Inc,"1050 Chalkstone Ave
Providence, RI
(41.83229771100048, -71.44275623599964)",Corner Store
CG,Family Dollar 2868,"1030 Chalkstone Ave
Providence, RI
(41.83228281400045, -71.44199058399965)",Chain Store or Gas Station
CS,Providence City Convenience & Deli,"312 Broad St
Providence, RI
(41.81453917100049, -71.42106157299963)",Corner Store
CS,JOANNA MARKET INC,"172 Chapin Ave
Providence, RI
(41.8118730700005, -71.43829653099965)",Corner Store
CS,"CRANSTON FOOD CENTER, INC.","560 Cranston St
Providence, RI
(41.80825092900045, -71.43458463099967)",Corner Store
CS,Julian Market,"100 Julian St
Providence, RI
(41.82186762900045, -71.44504456799967)",Corner Store
CS,EAST SIDE MINI MART,"252 Brook St
Providence, RI
(41.82371134200048, -71.39884395499962)",Corner Store
CS,SIME MARKET,"70 Appleton St
Providence, RI
(41.8204822830005, -71.44444728499963)",Corner Store
CS,Plainfield Market Place,"370 Plainfield St
Providence, RI
(41.813677045000475, -71.45045630099963)",Corner Store
CS,Los Compadres Market LLC,"93 Laura St
Providence, RI
(41.810880771000484, -71.36680092099965)",Corner Store
SP,SAL'S BAKERY,"1288 Chalkstone Ave
Providence, RI
(41.832523076000484, -71.45147580099967)",Specialty
CG,7-ELEVEN 33397-A,"10 Dorrance St
Providence, RI
(41.8240863690005, -71.41220958099967)",Chain Store or Gas Station
CS,CHRISTINA MARKET,"524 Smith St
Providence, RI
(41.836137617000475, -71.42806577599964)",Corner Store
CG,Family Dollar 6864,"1515 Broad St
Providence, RI
(41.786464572000455, -71.40205123899966)",Chain Store or Gas Station
