CENSUS TRACT,Total HH,HH above poverty level,HH below Poverty Level,HH receiving benefits,HH not receiving benefits,HH White alone ,HH Black Alone,HH American Indian alone,HH Asian alone,HH Pacific Islander alone,HH Other race alone,HH Two or more races,HH Hispanic or Latino origin (any race),Total Median Income
17031170200,1201,1155,46,127,1074,1001,0,0,81,0,107,12,371,72122
17031170300,1831,1613,218,201,1630,1587,0,11,95,0,138,0,523,64455
17031170400,1507,1346,161,69,1438,1274,50,27,78,0,78,0,247,63281
17031170500,2004,1905,99,93,1911,1735,0,0,120,0,138,11,411,84569
17031170600,976,910,66,60,916,945,7,0,12,0,0,12,115,72574
17031170700,1149,1008,141,46,1103,1011,7,0,78,0,53,0,166,73133
17031170800,1438,1327,111,165,1273,1324,0,0,65,0,49,0,324,67571
17031170900,660,579,81,72,588,563,17,0,21,0,52,7,197,63438
17031171000,2588,2404,184,279,2309,2135,208,15,127,13,60,30,444,75339
17031171100,1282,1158,124,82,1200,1085,32,0,67,0,82,16,375,63111
17031180100,2240,1803,437,151,2089,1676,32,0,235,0,283,14,827,51071
17031190100,829,654,175,180,649,418,5,0,15,0,360,31,666,37629
17031190200,1583,1377,206,257,1326,966,35,0,41,0,512,29,1146,59246
17031190300,1746,1462,284,300,1446,1245,92,23,37,0,327,22,864,55069
17031190401,1225,1038,187,148,1077,927,11,18,59,0,174,36,643,61383
17031190402,1696,1518,178,171,1525,1195,33,8,29,0,416,15,1014,51421
17031190601,1216,1037,179,98,1118,665,62,0,4,0,458,27,977,49091
17031190602,1422,1286,136,270,1152,776,39,29,36,0,512,30,1069,54464
17031190701,783,623,160,232,551,441,5,0,14,0,313,10,607,40298
17031190702,1448,1076,372,419,1029,857,138,0,0,0,453,0,1126,39882
17031190800,2008,1639,369,571,1437,1032,48,7,21,0,892,8,1559,47955
17031190900,714,513,201,229,485,330,72,8,0,0,272,32,558,55833
17031191000,723,559,164,189,534,422,32,0,16,0,238,15,594,50096
17031191100,2031,1683,348,523,1508,1043,138,12,33,0,763,42,1650,50666
17031191200,1025,831,194,203,822,433,49,6,7,7,518,5,948,50863
17031191301,1473,1224,249,406,1067,661,130,0,54,0,573,55,1166,49946
17031191302,1386,1220,166,272,1114,687,79,4,10,0,598,8,1135,46000
17031200100,1321,1151,170,127,1194,899,34,13,76,0,282,17,775,41131
17031200200,1638,1309,329,379,1259,787,106,41,10,0,676,18,1220,44077
17031200300,536,380,156,239,297,292,13,0,13,6,206,6,457,38571
17031200401,1018,839,179,320,698,511,93,31,0,0,372,11,812,42109
17031200402,1107,838,269,294,813,519,70,9,50,0,424,35,929,52482
17031210100,1419,1230,189,84,1335,1117,69,0,135,9,68,21,411,70234
17031210400,979,814,165,140,839,746,43,0,23,0,139,28,476,51141
17031210501,1252,990,262,282,970,921,116,22,16,0,131,46,559,47917
17031210502,1434,1082,352,241,1193,1099,94,12,12,0,186,31,784,52908
17031210601,915,798,117,84,831,708,0,18,48,0,102,39,454,66994
17031210602,1544,1327,217,299,1245,1189,58,0,33,0,173,91,706,59408
17031210700,1536,1284,252,320,1216,1312,20,0,66,0,94,44,757,64569
