STORE NAME,SQUARE FEET,BUFFER SIZE,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,CENSUS TRACT,LATITUDE,LONGITUDE,LOCATION
GENE'S SAUSAGE SHOP & DELI INC,5000.0,B,60641,PORTAGE PARK,15,17031151100,41.9387619658,-87.7604070714,"(41.9387619658, -87.7604070714)"
RIGO'S GROCERY,2500.0,B,60623,SOUTH LAWNDALE,30,17031301702,41.8389367453,-87.7172305546,"(41.8389367453, -87.7172305546)"
WALMART,,A,60628,PULLMAN,50,17031500200,41.69631368,-87.59663224,"(41.69631368, -87.59663224)"
CHICAGO PRODUCE,13500.0,A,60625,ALBANY PARK,14,17031140200,41.9684853733,-87.7158713295,"(41.9684853733, -87.7158713295)"
DIA FOOD & LIQUOR,4500.0,B,60643,MORGAN PARK,75,17031750600,41.684955798400004,-87.659725829,"(41.6849557984, -87.659725829)"
"PARK FOODS OF 71ST STREET,INC.",3500.0,B,60629,CHICAGO LAWN,66,17031660900,41.7647171389,-87.6887509815,"(41.7647171389, -87.6887509815)"
PETE'S PRODUCE,5000.0,B,60619,CALUMET HEIGHTS,48,17031480200,41.7367954576,-87.5862725091,"(41.7367954576, -87.5862725091)"
HAREER FOOD & LIQUOR,2500.0,B,60609,NEW CITY,61,17031612100,41.7945591033,-87.6453134277,"(41.7945591033, -87.6453134277)"
TRADER JOE'S EAST,10615.0,A,60611,NEAR NORTH SIDE,8,17031081500,41.8934080204,-87.6264377426,"(41.8934080204, -87.6264377426)"
EMILIO'S PRODUCE,2500.0,B,60647,LOGAN SQUARE,22,17031221400,41.9225974657,-87.6970976291,"(41.9225974657, -87.6970976291)"
"GRAND PALACE SUPERMARKET, INC",3000.0,B,60619,GREATER GRAND CROSSING,69,17031691000,41.7645736329,-87.6247399651,"(41.7645736329, -87.6247399651)"
ALDI #70,18263.0,A,60620,AUBURN GRESHAM,71,17031710300,41.7549909175,-87.6634041558,"(41.7549909175, -87.6634041558)"
SUPER MERCADO LA CHIQUITA,9500.0,B,60623,SOUTH LAWNDALE,30,17031301600,41.8442791237,-87.71455376629999,"(41.8442791237, -87.7145537663)"
ALDI'S # 26,16550.0,A,60617,EAST SIDE,52,17031520100,41.703662360900005,-87.5257124268,"(41.7036623609, -87.5257124268)"
CARNICERIA RICARDO,5000.0,B,60639,HERMOSA,20,17031200200,41.9315407469,-87.7375725127,"(41.9315407469, -87.7375725127)"
LINDO MICHOACAN,8600.0,B,60625,ALBANY PARK,14,17031140100,41.9685727721,-87.70778770129999,"(41.9685727721, -87.7077877013)"
"SUPER FOOD & LIQUORS, INC.",4000.0,B,60660,EDGEWATER,77,17031030701,41.983563915,-87.657146291,"(41.983563915, -87.657146291)"
NAYAB MART,3125.0,B,60659,WEST RIDGE,2,17031020802,41.9975891244,-87.69183691479999,"(41.9975891244, -87.6918369148)"
EDGEWATER PRODUCE,7400.0,B,60640,EDGEWATER,77,17031030800,41.981971377,-87.6683210323,"(41.981971377, -87.6683210323)"
JEWEL FOOD STORE #3224,29299.0,A,60634,DUNNING,17,17031170100,41.953010233200004,-87.7877071626,"(41.9530102332, -87.7877071626)"
LOS SAUCES GROCERY,2800.0,B,60639,BELMONT CRAGIN,19,17031190402,41.9312882001,-87.7732414533,"(41.9312882001, -87.7732414533)"
THE WAREHOUSE,6000.0,B,60628,WEST PULLMAN,53,17031530200,41.6779860017,-87.6362008551,"(41.6779860017, -87.6362008551)"
ARISTA FOODS,10000.0,A,60607,NEAR WEST SIDE,28,17031833000,41.8834021216,-87.65572529309999,"(41.8834021216, -87.6557252931)"
MORSE FOOD AND MEAT MARKET,17000.0,A,60626,ROGERS PARK,1,17031010600,42.0079949199,-87.6671741467,"(42.0079949199, -87.6671741467)"
"CALABRIA IMPORTS, INC.",3100.0,B,60643,BEVERLY,72,17031720700,41.706473324499996,-87.6693549885,"(41.7064733245, -87.6693549885)"
KOL TUV KOSHER FOODS INC,3000.0,B,60659,WEST RIDGE,2,17031020601,41.9976012808,-87.7036126719,"(41.9976012808, -87.7036126719)"
ALDI INC # 62,12646.0,A,60659,WEST RIDGE,2,17031020702,41.9946209588,-87.6996868624,"(41.9946209588, -87.6996868624)"
JEWEL FOOD  STORE # 3345,60271.0,A,60605,NEAR SOUTH SIDE,33,17031330100,41.8667243541,-87.6259611484,"(41.8667243541, -87.6259611484)"
WASHINGTON GROCERY,4200.0,B,60624,WEST GARFIELD PARK,26,17031261000,41.8718636117,-87.7290573726,"(41.8718636117, -87.7290573726)"
WALGREENS #232,,A,60616,DOUGLAS,35,17031351000,41.8326245,-87.6168411,"(41.8326245, -87.6168411)"
FAIRWAY FOOD,3000.0,B,60649,SOUTH SHORE,43,17031431301,41.7520053919,-87.5540154169,"(41.7520053919, -87.5540154169)"
FRESH MARKET PLACE,20000.0,A,60639,BELMONT CRAGIN,19,17031190602,41.9276476796,-87.76626652110001,"(41.9276476796, -87.7662665211)"
THE FISH KEG INC,4000.0,B,60645,WEST RIDGE,2,17031020100,42.019394742399996,-87.6860204976,"(42.0193947424, -87.6860204976)"
