FIPS,State,County,"Population, low access to store (2010)","Population, low access to store (2015)","Population, low access to store (% change), 2010 -15","Population, low access to store (%), 2010","Population, low access to store (%), 2015","Low income & low access to store, 2010","Low income & low access to store, 2015",PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,"Hispanic ethnicity, low access to store, 2015","Hispanic ethnicity, low access to store (%), 2015","Asian, low access to store, 2015","Asian, low access to store (%), 2015","American Indian or Alaska Native, low access to store, 2015","American Indian or Alaska Native, low access to store (%), 2015","Hawaiian or Pacific Islander, low access to store, 2015","Hawaiian or Pacific Islander, low access to store (%), 2015","Multiracial, low access to store, 2015","Multiracial, low access to store (%), 2015"
17057,IL,Fulton,4613.997059,6302.332037,36.591592,12.44705025,17.0016241,1470.55814,2411.621454,63.99361501,3.967083385,6.505763453,306.1352447,348.8555093,13.95470314,2.106048739,2.399941589,362.0530016,2.490733363,1044.207619,1482.369794,41.9612122,2.816929561,3.998947351,833.9105027,1073.658984,28.74990547,2.249616938,2.896379681,6194.840668,16.71164765,14.62327254,0.039448792,51.4257798,0.138729882,10.89424322,0.029389094,10.95409271,0.029550548,0,0,71.01975343,0.191587994
17059,IL,Gallatin,4856.048815,4204.632412,-13.41453573,86.88582599,75.23049582,1823.618927,1635.830105,-10.2975912,32.62871582,29.26874405,146.808297,122.5520912,-16.52236716,6.109375657,5.099962179,295.4600637,12.29546665,1033.124579,884.8855372,-14.34861242,18.48496294,15.83262725,981.0121171,868.1049816,-11.50924984,17.55255175,15.53238471,4103.368237,73.418648,10.00000001,0.178922884,59.00000016,1.05564502,2.000000019,0.035784577,12.00000005,0.214707462,0,0,77.26417891,1.382432974
17061,IL,Greene,259.9066576,1656.176156,537.219597,1.871717252,11.92694913,71.50423486,881.6160941,1132.956476,0.514937598,6.34895646,57.48291133,146.5979283,155.0287118,1.03200918,2.631919718,124.5971003,2.236931784,59.8666937,389.3151121,550.3033457,0.43112987,2.803651967,42.92340069,280.6851866,553.9211295,0.30911278,2.021353785,1626.624402,11.71413224,8.137181402,0.058599895,6.777228806,0.048806199,0.435712209,0.003137781,2.277403862,0.016400719,0,0,18.70145307,0.134678475
17063,IL,Grundy,9126.122755,9307.075391,1.982798622,18.22927662,18.59072647,1669.385987,2478.900483,48.49175097,3.334570416,4.951561998,408.8982778,438.3685441,7.20723659,2.204778808,2.363682433,348.8261371,1.88086993,2450.555593,2507.136523,2.308902131,4.894943557,5.007963013,977.4017533,991.2809409,1.420008454,1.952343554,1.980066997,8789.950084,17.55777737,76.71528715,0.153237495,677.155277,1.35260627,66.01808872,0.131870021,24.41612638,0.048770802,3.267162122,0.006526101,346.7086806,0.692544755
17065,IL,Hamilton,1547.107855,1193.621187,-22.84822397,18.29381406,14.11400245,489.6768731,366.2044065,-25.21509049,5.79019597,4.330192816,26.16424933,55.13807047,110.7382092,0.749906831,1.580340225,55.7849335,1.598880295,356.6984332,277.3283052,-22.25132512,4.217789207,3.279275218,286.7754456,198.2363998,-30.87399815,3.390983157,2.34405108,1162.014887,13.74027299,13,0.153718813,11.34186914,0.134112205,3.151122294,0.037260521,0.552986314,0.0065388,0.994726116,0.011762163,13.90746607,0.164449167
17067,IL,Hancock,10204.79468,7343.926383,-28.03455026,53.41705755,38.44182571,3401.782163,2706.616337,-20.43534221,17.80664867,14.16779908,310.9172642,278.4196195,-10.45218405,3.867130151,3.46293059,382.5166454,4.757669719,2299.7602,1685.562315,-26.70704036,12.03810825,8.823085821,2008.732461,1400.61006,-30.27393706,10.51472184,7.331501571,7229.223298,37.84141173,20.05630699,0.104984857,39.62047597,0.207393614,14.90661966,0.078028788,8.001227247,0.041882471,2.719337914,0.01423439,69.01959912,0.361283496
17069,IL,Hardin,1025.035678,714.7163996,-30.27399776,23.72767772,16.5443611,380.5509689,206.2960248,-45.79017223,8.809050207,4.775370945,97.88995742,164.6648143,68.21420565,5.111747124,8.598684819,53.71425886,2.804922134,187.4001846,127.5431198,-31.94077149,4.337967235,2.952387033,231.9612293,152.1505244,-34.40691583,5.369472901,3.522002879,701.4155794,16.23647175,1.293462051,0.029941251,2.020912017,0.046780371,7.02091204,0.162521112,0,0,0.025209714,0.000583558,4.961238485,0.114843483
17071,IL,Henderson,101.9657869,99.5907392,-2.329259451,1.390885103,1.358487781,32.19109606,33.42219253,3.824338478,0.439109208,0.455902231,102.7710663,53.28544197,-48.15131937,3.263609601,1.692138519,4.40024528,0.139734687,21.74870281,21.10933725,-2.939787107,0.296667614,0.287946218,13.72020907,12.89923173,-5.983708636,0.187153309,0.1759546,98.58614039,1.344784346,0.004598783,6.27E-05,0,0,0,0,0,0,0,0,0.999999966,0.013640703
17073,IL,Henry,9452.025152,9344.026294,-1.142600199,18.72207177,18.50815334,2660.657104,2558.71745,-3.831371339,5.270088944,5.068172267,476.092871,356.1949118,-25.18373336,2.336881515,1.748367505,357.0032109,1.752335007,2385.853358,2355.99897,-1.251308609,4.72577221,4.666638216,1457.507838,1559.89357,7.024712255,2.886954479,3.089754724,8808.830551,17.4480659,225.715236,0.447084808,345.5715813,0.68448992,37.21794332,0.073719335,17.94396344,0.035542454,0,0,254.3185991,0.503740837
17075,IL,Iroquois,4187.485494,6495.508949,55.11716896,14.09073792,21.85715374,1040.839437,2240.5837,115.2669874,3.502387229,7.539483477,180.05319,362.2460848,101.1883737,1.505965122,3.029826738,246.4414916,2.061236965,1028.896148,1600.68184,55.57273129,3.462198493,5.386236759,746.061016,1177.109368,57.77655479,2.510468457,3.96093064,6000.999503,20.19314726,40.16731441,0.135161567,579.8629309,1.951217885,18.07154713,0.060810105,10.04353553,0.033796135,0.999999983,0.003364964,425.2270627,1.430873756
