CENSUS TRACT,Total At/Above poverty level,Total Below poverty level,At/Above poverty level receiving benefits,At/Above not receiving benefits,Below poverty level receiving,Below Poverty Level not receiving
17031410500,824,428,37,787,174,254
17031410600,754,315,80,674,41,274
17031410700,698,332,0,698,26,306
17031410800,1342,419,95,1247,122,297
17031410900,1528,297,58,1470,62,235
17031411000,1682,164,56,1626,0,164
17031411100,747,82,0,747,6,76
17031411200,564,154,15,549,44,110
17031420100,475,280,190,285,193,87
17031420200,392,214,89,303,146,68
17031420300,547,175,64,483,90,85
17031420400,335,376,66,269,202,174
17031420500,630,169,98,532,145,24
17031420600,508,425,125,383,290,135
17031420700,663,501,160,503,403,98
17031420800,556,258,201,355,176,82
17031421200,276,204,95,181,161,43
17031430101,1005,627,355,650,489,138
17031430102,1330,561,221,1109,275,286
17031430200,1527,852,452,1075,661,191
17031430300,463,468,125,338,335,133
17031430400,675,412,163,512,266,146
17031430500,741,844,252,489,616,228
17031430600,577,176,151,426,80,96
17031430700,721,514,143,578,226,288
17031430800,524,162,71,453,39,123
17031430900,455,226,79,376,113,113
17031431200,909,180,128,781,96,84
17031431301,813,440,137,676,277,163
17031431302,988,543,256,732,385,158
17031431400,2330,1006,544,1786,607,399
17031440101,1186,674,511,675,424,250
17031440102,1079,514,333,746,344,170
17031440201,1626,748,430,1196,556,192
17031440202,1200,412,157,1043,268,144
17031440300,1609,389,297,1312,280,109
17031440600,644,97,123,521,9,88
17031440700,534,73,134,400,27,46
17031440800,424,281,100,324,243,38
17031440900,689,243,292,397,180,63
17031450300,1197,176,217,980,76,100
17031460100,801,317,239,562,237,80
17031460200,519,309,129,390,218,91
17031460301,729,260,128,601,184,76
17031460302,835,311,263,572,230,81
17031460400,983,221,235,748,129,92
17031460500,2097,267,329,1768,97,170
17031460600,310,53,94,216,31,22
17031460700,490,431,130,360,377,54
17031461000,446,318,139,307,267,51
17031470100,766,280,223,543,136,144
17031480100,833,86,89,744,23,63
17031480200,434,76,84,350,14,62
17031480300,435,96,71,364,43,53
17031480400,1936,252,414,1522,78,174
17031480500,907,193,182,725,128,65
17031490300,746,136,125,621,63,73
17031490400,312,25,52,260,0,25
17031490500,590,129,149,441,85,44
17031490600,467,89,146,321,69,20
17031490700,702,193,185,517,138,55
17031490800,1165,305,215,950,215,90
17031490901,1074,323,300,774,232,91
17031490902,1523,327,367,1156,213,114
17031491000,661,451,298,363,389,62
17031491100,1091,295,174,917,138,157
17031491200,546,140,122,424,98,42
17031491300,391,237,136,255,175,62
17031491400,767,363,334,433,281,82
17031500100,1379,168,204,1175,20,148
17031500200,512,279,218,294,259,20
17031500300,547,182,57,490,72,110
17031510100,706,310,156,550,172,138
17031510200,857,255,92,765,93,162
17031510300,1541,406,410,1131,321,85
17031520100,422,62,124,298,55,7
17031520200,785,290,206,579,241,49
17031520300,1275,426,162,1113,306,120
17031520400,1127,176,167,960,139,37
17031520500,1379,169,95,1284,86,83
17031520600,675,120,50,625,51,69
17031530100,533,226,192,341,157,69
17031530200,883,350,241,642,262,88
17031530300,1229,255,181,1048,204,51
17031530400,631,106,118,513,95,11
17031530501,1196,327,301,895,209,118
17031530502,417,101,128,289,70,31
17031530503,1307,439,359,948,244,195
17031530600,717,233,196,521,233,0
17031540101,667,777,331,336,550,227
17031540102,434,682,202,232,490,192
17031550100,1845,558,115,1730,350,208
17031550200,972,83,65,907,0,83
17031560100,297,45,43,254,14,31
17031560200,519,102,70,449,73,29
17031560300,831,121,119,712,61,60
17031560400,394,61,29,365,17,44
17031560700,1098,122,140,958,10,112
17031560800,2019,96,97,1922,37,59
17031560900,1854,47,39,1815,9,38
17031561000,2049,51,81,1968,18,33
17031561100,1759,112,165,1594,41,71
17031570100,356,59,14,342,45,14
17031570200,506,104,42,464,52,52
17031570300,1398,273,184,1214,215,58
17031570400,504,24,41,463,19,5
17031570500,624,88,45,579,27,61
17031580100,678,128,86,592,79,49
17031580200,710,212,170,540,122,90
17031580300,615,86,155,460,43,43
17031580400,1213,331,111,1102,166,165
17031580501,1102,340,178,924,182,158
17031580502,1180,266,166,1014,113,153
17031580600,1234,206,161,1073,76,130
17031580700,1315,272,359,956,235,37
17031580800,470,98,97,373,49,49
17031590500,479,152,57,422,78,74
17031590600,981,197,213,768,106,91
17031590700,787,268,91,696,181,87
17031600400,1127,454,145,982,198,256
17031600600,881,222,156,725,70,152
17031600700,882,182,160,722,51,131
17031600900,1242,125,113,1129,26,99
17031610300,1124,546,391,733,286,260
17031610400,371,212,47,324,136,76
17031610800,499,41,72,427,30,11
17031611000,148,145,67,81,85,60
17031611100,539,214,121,418,168,46
17031611200,547,220,128,419,176,44
17031611300,642,211,177,465,143,68
17031611400,719,227,71,648,172,55
17031611500,616,321,110,506,192,129
17031611600,400,131,138,262,94,37
17031611700,361,193,110,251,142,51
17031611800,511,163,239,272,109,54
17031611900,365,190,91,274,159,31
17031612000,349,78,164,185,61,17
17031612100,276,78,127,149,71,7
17031620100,1091,113,108,983,66,47
17031620200,661,69,77,584,29,40
17031620300,1826,212,339,1487,101,111
17031620400,1060,159,148,912,63,96
17031630100,223,72,39,184,35,37
17031630200,463,136,97,366,93,43
17031630300,1070,179,365,705,119,60
17031630400,1341,429,350,991,241,188
17031630500,1231,305,315,916,197,108
17031630800,1486,227,352,1134,178,49
17031630900,1141,140,223,918,85,55
17031640100,421,65,40,381,34,31
17031640300,2250,128,93,2157,88,40
17031640400,1150,57,125,1025,10,47
17031640500,1462,87,180,1282,29,58
17031640600,1391,268,107,1284,160,108
17031640700,883,174,127,756,111,63
17031640800,496,48,76,420,26,22
17031650100,1089,179,203,886,99,80
17031650200,1800,304,309,1491,133,171
17031650301,1486,86,177,1309,56,30
17031650302,917,157,147,770,62,95
17031650400,1504,260,154,1350,145,115
17031650500,1270,176,67,1203,93,83
17031660301,388,147,121,267,117,30
17031660302,1199,283,252,947,222,61
17031660400,1219,240,408,811,86,154
17031660500,1022,331,178,844,174,157
17031660600,1518,558,388,1130,399,159
17031660700,485,123,180,305,76,47
17031660800,1375,288,349,1026,177,111
17031660900,910,487,370,540,377,110
17031661000,1324,548,326,998,264,284
17031661100,1591,326,184,1407,247,79
17031670100,285,100,105,180,70,30
17031670200,193,137,63,130,98,39
17031670300,306,121,61,245,71,50
17031670400,360,164,166,194,138,26
17031670500,251,99,120,131,44,55
17031670600,245,102,68,177,90,12
17031670700,288,68,90,198,60,8
17031670800,408,130,137,271,84,46
17031670900,316,171,86,230,135,36
17031671100,198,101,58,140,81,20
17031671200,199,108,84,115,85,23
17031671300,452,163,202,250,116,47
17031671400,307,175,62,245,134,41
17031671500,586,216,265,321,157,59
17031671600,519,188,178,341,151,37
17031671800,286,91,121,165,47,44
17031671900,262,43,52,210,24,19
17031672000,891,266,198,693,220,46
17031680500,263,186,69,194,133,53
17031680600,209,155,80,129,149,6
17031680900,962,758,336,626,569,189
17031681000,536,580,195,341,411,169
17031681100,527,406,247,280,226,180
17031681200,496,304,169,327,257,47
17031681300,477,247,142,335,165,82
17031681400,625,210,238,387,120,90
17031690300,362,426,129,233,355,71
17031690400,847,524,216,631,358,166
17031690500,191,130,52,139,82,48
17031690900,1185,484,283,902,315,169
17031691000,875,234,91,784,128,106
17031691100,612,459,164,448,406,53
17031691200,758,323,166,592,238,85
17031691300,741,325,137,604,220,105
17031691400,955,311,294,661,221,90
17031691500,400,373,200,200,248,125
17031700100,911,157,89,822,146,11
17031700200,1692,172,168,1524,63,109
17031700301,1592,151,290,1302,27,124
17031700302,1657,102,127,1530,16,86
17031700401,1566,318,313,1253,143,175
17031700402,1076,230,93,983,169,61
17031700501,2241,175,355,1886,85,90
17031700502,949,91,42,907,0,91
17031710100,277,212,32,245,150,62
17031710200,1252,483,304,948,322,161
17031710300,391,148,106,285,79,69
17031710400,1337,534,369,968,281,253
17031710500,1187,371,263,924,221,150
17031710600,464,188,105,359,134,54
17031710700,845,397,121,724,212,185
17031710800,1444,499,304,1140,311,188
17031710900,512,262,111,401,205,57
17031711000,718,299,224,494,203,96
17031711100,848,74,145,703,57,17
17031711200,1603,366,232,1371,266,100
17031711300,456,138,155,301,59,79
17031711400,642,189,72,570,133,56
17031711500,623,208,169,454,157,51
17031720100,1171,8,0,1171,0,8
17031720200,1462,158,23,1439,44,114
17031720300,1278,76,0,1278,0,76
17031720400,654,17,19,635,5,12
17031720500,752,30,4,748,0,30
17031720600,578,33,14,564,6,27
17031720700,1251,89,68,1183,12,77
17031730100,768,125,158,610,90,35
17031730201,1510,762,301,1209,368,394
17031730202,972,155,118,854,37,118
17031730300,338,82,52,286,52,30
17031730400,1206,152,210,996,100,52
17031730500,1196,321,82,1114,168,153
17031730600,945,234,127,818,111,123
17031730700,557,162,184,373,80,82
17031740100,1086,67,39,1047,27,40
17031740200,1761,154,68,1693,21,133
17031740300,1754,53,0,1754,0,53
17031740400,1803,73,58,1745,0,73
17031750100,1134,250,243,891,91,159
17031750200,1080,178,46,1034,82,96
17031750300,894,38,33,861,0,38
17031750400,1105,80,16,1089,12,68
17031750500,1715,353,129,1586,97,256
17031750600,858,399,157,701,234,165
17031760801,1873,255,171,1702,57,198
17031760802,1002,121,73,929,39,82
17031760803,2464,354,131,2333,184,170
17031770201,2579,201,143,2436,63,138
17031770202,2062,73,69,1993,28,45
17031770300,2748,68,59,2689,12,56
17031770400,1601,191,85,1516,71,120
17031770500,796,299,84,712,141,158
17031770601,979,72,98,881,22,50
17031770602,1292,264,134,1158,62,202
17031770700,998,97,42,956,31,66
17031770800,1797,184,145,1652,91,93
17031770901,1857,195,82,1775,28,167
17031770902,1315,89,40,1275,21,68
17031800100,856,19,7,849,0,19
17031800200,2254,105,36,2218,0,105
17031800300,1178,41,23,1155,0,41
17031800400,1177,63,0,1177,0,63
17031800500,1610,60,0,1610,0,60
17031800600,705,48,7,698,0,48
17031800700,1622,26,0,1622,0,26
17031800800,913,66,0,913,14,52
17031800900,1413,32,27,1386,18,14
17031801000,1791,140,29,1762,22,118
17031801100,1585,28,19,1566,0,28
17031801200,1222,74,0,1222,0,74
17031801300,1540,106,49,1491,51,55
17031801400,1009,31,0,1009,0,31
17031801500,2339,71,130,2209,0,71
17031801601,1692,83,8,1684,11,72
17031801603,1354,225,28,1326,23,202
17031801605,2202,14,15,2187,14,0
17031801606,2322,184,30,2292,0,184
17031801607,1936,134,36,1900,0,134
17031801608,2791,96,0,2791,0,96
17031801701,1214,23,9,1205,0,23
17031801702,1639,52,8,1631,0,52
17031801800,2183,167,16,2167,17,150
17031801901,1710,118,48,1662,7,111
17031801902,1099,37,7,1092,0,37
17031802002,1601,43,20,1581,0,43
17031802003,847,23,38,809,0,23
17031802004,1794,315,111,1683,132,183
17031802100,1074,74,17,1057,8,66
17031802200,1821,62,6,1815,0,62
17031802300,2045,212,0,2045,61,151
17031802402,1759,337,107,1652,156,181
17031802403,805,29,32,773,19,10
17031802404,2397,298,129,2268,159,139
17031802503,2108,295,172,1936,64,231
17031802504,1939,136,180,1759,24,112
17031802505,1978,388,316,1662,238,150
17031802506,729,61,48,681,24,37
17031802605,2660,111,138,2522,0,111
17031802607,474,5,5,469,0,5
17031802608,2767,242,51,2716,59,183
17031802609,2239,189,327,1912,69,120
17031802610,625,10,24,601,0,10
17031802701,2126,78,180,1946,37,41
17031802702,1615,163,28,1587,65,98
17031802801,1783,84,37,1746,8,76
17031802802,2153,143,17,2136,0,143
17031802900,1989,63,0,1989,0,63
17031803005,968,114,9,959,77,37
17031803007,1948,48,106,1842,0,48
17031803008,1587,80,43,1544,22,58
17031803010,1901,87,18,1883,10,77
17031803012,883,50,77,806,28,22
17031803013,2054,153,61,1993,58,95
17031803014,1259,98,94,1165,34,64
17031803015,1791,111,79,1712,8,103
17031803016,897,15,25,872,0,15
17031803017,2577,88,72,2505,74,14
17031803100,1125,96,9,1116,14,82
17031803200,2230,102,11,2219,18,84
17031803300,2458,300,13,2445,210,90
17031803400,2097,135,51,2046,42,93
17031803500,2084,164,25,2059,0,164
17031803603,2266,53,53,2213,16,37
17031803604,1780,65,44,1736,56,9
17031803605,2366,281,161,2205,175,106
17031803606,2315,461,221,2094,154,307
17031803607,1821,25,9,1812,0,25
17031803608,2539,310,142,2397,171,139
